neg_pos,token,POS,Wert,Inflektionen
neg,aufschrei,nn,-0.0048,"aufschreien,aufschreis,aufschreie,aufschreies"
neg,aufstand,nn,-0.0048,"aufstandes,aufstände,aufstands,aufstanden,aufständen,aufstande"
neg,ausbeute,nn,-0.1894,ausbeuten
neg,ausbeuter,nn,-0.0048,"ausbeuters,ausbeutern"
neg,ausbeutung,nn,-0.0048,ausbeutungen
neg,ausbruch,nn,-0.0048,"ausbruchs,ausbruches,ausbrüche,ausbrüchen"
neg,auseinandersetzung,nn,-0.0603,auseinandersetzungen
neg,ausfall,nn,-0.2164,"ausfällen,ausfälle,ausfalles,ausfalls"
neg,ausgrenzung,nn,-0.626,NA
neg,auslöschung,nn,-0.0048,auslöschungen
neg,ausrottung,nn,-0.0048,ausrottungen
neg,ausschließung,nn,-0.0048,ausschließungen
neg,aussetzung,nn,-0.0048,aussetzungen
neg,banalität,nn,-0.0048,banalitäten
neg,bankrott,nn,-0.0048,"bankrotte,bankrotts,bankrottes,bankrotten"
neg,barriere,nn,-0.0048,barrieren
neg,bedeutungslosigkeit,nn,-0.0048,NA
neg,bedrohung,nn,-0.0048,bedrohungen
neg,bedrängung,nn,-0.0048,bedrängungen
neg,bedrückung,nn,-0.0435,bedrückungen
neg,bedürftige,nn,-0.0048,NA
neg,beeinträchtigung,nn,-0.3472,beeinträchtigungen
neg,befall,nn,-0.0048,"befalls,befälle,befällen,befalles"
neg,befangenheit,nn,-0.0048,befangenheiten
neg,befürchtung,nn,-0.4903,befürchtungen
neg,begrenzung,nn,-0.0048,begrenzungen
neg,behinderung,nn,-0.3578,behinderungen
neg,belastung,nn,-0.3711,belastungen
neg,beleidigung,nn,-0.3432,beleidigungen
neg,belästigung,nn,-0.0048,belästigungen
neg,beschneidung,nn,-0.3313,beschneidungen
neg,beschränkung,nn,-0.3518,beschränkungen
neg,beschuldigung,nn,-0.3209,beschuldigungen
neg,beschwerde,nn,-0.0048,beschwerden
neg,beschwerlichkeit,nn,-0.0048,beschwerlichkeiten
neg,beschädigung,nn,-0.0048,beschädigungen
neg,beschäftigungslose,nn,-0.0048,NA
neg,beschäftigungsloser,nn,-0.0048,NA
neg,beschämung,nn,-0.0048,beschämungen
neg,beseitigung,nn,-0.0048,"beseitigungnen,beseitigungen"
neg,besorgnis,nn,-0.0048,"besorgnissen,besorgnisse"
neg,bestechung,nn,-0.0048,bestechungen
neg,besteuerung,nn,-0.0048,besteuerungen
neg,bestrafung,nn,-0.0048,bestrafungen
neg,bestürzung,nn,-0.0048,NA
neg,betrug,nn,-0.4913,"betrugs,betruges"
neg,betrüger,nn,-0.3311,"betrügers,betrügern"
neg,beule,nn,-0.0048,beulen
neg,beunruhigung,nn,-0.324,beunruhigungen
neg,bevormundung,nn,-0.0048,bevormundungen
neg,bitterkeit,nn,-0.0048,NA
neg,blindheit,nn,-0.0048,NA
neg,blockade,nn,-0.0048,blockaden
neg,blockierung,nn,-0.0048,blockierungen
neg,blödheit,nn,-0.0048,blödheiten
neg,bombardement,nn,-0.0048,bombardements
neg,bombardierung,nn,-0.0048,bombardierungen
neg,bombe,nn,-0.0048,bomben
neg,bosheit,nn,-0.3371,bosheiten
neg,brand,nn,-0.0048,"bränden,brände,brandes,brands"
neg,bruch,nn,-0.3463,"bruchs,brüche,bruches,brüchen"
neg,brutalität,nn,-0.0048,brutalitäten
neg,bußgeld,nn,-0.3377,"bußgeldes,bußgelds,bußgelder,bußgeldern"
neg,bösartigkeit,nn,-0.3189,NA
neg,bösewicht,nn,-0.0048,"bösewichten,bösewichte,bösewichts,bösewichtes"
neg,bürde,nn,-0.0524,bürden
neg,chaos,nn,-0.3489,NA
neg,crash,nn,-0.1885,crashs
neg,defekt,nn,-0.0048,"defekten,defekts,defektes,defekte"
neg,defizit,nn,-0.347,"defiziten,defizits,defizite"
neg,deformation,nn,-0.0048,deformationen
neg,degradierung,nn,-0.3137,degradierungen
neg,dekadenz,nn,-0.0048,NA
neg,demütigung,nn,-0.0048,demütigungen
neg,denkfehler,nn,-0.0048,"denkfehlern,denkfehlers"
neg,depression,nn,-0.4951,depressionen
neg,desaster,nn,-0.3413,"desastern,desasters"
neg,desinteresse,nn,-0.3348,desinteresses
neg,dezimierung,nn,-0.0048,dezimierungen
neg,dieb,nn,-0.1962,"diebes,diebs,dieben,diebe"
neg,diebstahl,nn,-0.3505,"diebstahls,diebstähle,diebstahles,diebstählen"
neg,diffamierung,nn,-0.4591,diffamierungen
neg,diktator,nn,-0.0048,"diktatoren,diktators"
neg,dilemma,nn,-0.3403,dilemmas
neg,diskriminierung,nn,-0.0048,diskriminierungen
neg,dissens,nn,-0.0048,"dissensen,dissense,dissenses"
neg,dominierung,nn,-0.0048,dominierungen
neg,doppeldeutigkeit,nn,-0.0048,doppeldeutigkeiten
neg,doppelspiel,nn,-0.0048,"doppelspiele,doppelspieles,doppelspiels,doppelspielen"
neg,dreck,nn,-0.0048,"dreckes,drecks"
neg,drift,nn,-0.0048,driften
neg,drohung,nn,-0.0048,drohungen
neg,drosselung,nn,-0.3178,drosselungen
neg,dummheit,nn,-0.4877,dummheiten
neg,dummkopf,nn,-0.0048,"dummköpfen,dummkopfes,dummköpfe,dummkopfs"
neg,dunkelheit,nn,-0.3547,dunkelheiten
neg,durcheinander,nn,-0.0048,"durcheinanders,durcheinandern"
neg,dussel,nn,-0.3094,"dussels,dusseln"
neg,dämpfer,nn,-0.0048,"dämpfern,dämpfers"
neg,dürre,nn,-0.0048,dürren
neg,düsternis,nn,-0.0048,"düsternisen,düsternise"
neg,egoist,nn,-0.3179,egoisten
neg,ehebruch,nn,-0.4743,"ehebruches,ehebruchs,ehebrüche,ehebrüchen"
neg,einbrecher,nn,-0.0048,"einbrechers,einbrechern"
neg,einbruch,nn,-0.3498,"einbrüche,einbruches,einbrüchen,einbruchs"
neg,einbuße,nn,-0.0048,einbußen
neg,einsamkeit,nn,-0.339,einsamkeiten
neg,einschlag,nn,-0.0048,"einschlägen,einschlages,einschläge,einschlags"
neg,einschränkung,nn,-0.2048,einschränkungen
neg,einschüchterung,nn,-0.0048,einschüchterungen
neg,einsturz,nn,-0.0048,"einstürzen,einsturzs,einsturzes,einstürze"
neg,ekel,nn,-0.462,"ekeln,ekeles,ekels"
neg,elend,nn,-0.2013,elends
neg,empörung,nn,-0.0048,empörungen
neg,ende,nn,-0.2088,"endes,enden"
neg,energielosigkeit,nn,-0.0048,NA
neg,entbindung,nn,-0.0048,entbindungen
neg,entfremdung,nn,-0.0048,entfremdungen
neg,entführung,nn,-0.0048,entführungen
neg,enthauptung,nn,-0.0048,enthauptungen
neg,entlassung,nn,-0.0048,entlassungen
neg,entmutigung,nn,-0.0048,entmutigungen
neg,enttäuschung,nn,-0.3378,enttäuschungen
neg,entziehung,nn,-0.0048,entziehungen
neg,epidemie,nn,-0.0048,epidemien
neg,ermahnung,nn,-0.0048,ermahnungen
neg,ermordung,nn,-0.332,ermordungen
neg,ermüdung,nn,-0.0048,ermüdungen
neg,erniedrigung,nn,-0.3259,erniedrigungen
neg,ernüchterung,nn,-0.0048,ernüchterungen
neg,erosion,nn,-0.0666,erosionen
neg,erpressung,nn,-0.0048,erpressungen
neg,erschöpfung,nn,-0.0595,erschöpfungen
neg,erschütterung,nn,-0.0048,erschütterungen
neg,explosion,nn,-0.0048,explosionen
neg,fahrlässigkeit,nn,-0.0048,fahrlässigkeiten
neg,farce,nn,-0.3349,farcen
neg,faschist,nn,-0.0048,faschisten
neg,faulheit,nn,-0.611,NA
neg,fehde,nn,-0.0048,fehden
neg,fehlanzeige,nn,-0.0048,fehlanzeigen
neg,fehler,nn,-0.6752,"fehlern,fehlers"
neg,fehlermeldung,nn,-0.4765,fehlermeldungen
neg,fehlkauf,nn,-0.0048,"fehlkaufes,fehlkaufs,fehlkäufe,fehlkäufen"
neg,fehlkonstruktion,nn,-0.0048,fehlkonstruktionen
neg,fehlleistung,nn,-0.0048,fehlleistungen
neg,fehltritt,nn,-0.0048,"fehltrittes,fehltritten,fehltritte,fehltritts"
neg,fehlverhalten,nn,-0.3461,NA
neg,feind,nn,-0.8054,"feindes,feinde,feinds,feinden"
neg,feuer,nn,-0.0445,"feuern,feuers"
neg,fiasko,nn,-0.0048,fiaskos
neg,finanzkrise,nn,-0.3283,finanzkrisen
neg,finte,nn,-0.0048,finten
neg,flaute,nn,-0.0413,flauten
neg,fluch,nn,-0.3534,"fluchs,flüchen,flüche,fluches"
neg,flucht,nn,-0.0048,fluchten
neg,flüchtiger,nn,-0.0048,NA
neg,flüchtigkeit,nn,-0.0048,flüchtigkeiten
neg,flüchtling,nn,-0.0048,"flüchtlings,flüchtlinge,flüchtlinges,flüchtlingen"
neg,frechheit,nn,-0.4665,frechheiten
neg,frust,nn,-0.469,"frustes,frusts"
neg,frustration,nn,-0.3354,frustrationen
neg,furcht,nn,-0.5012,NA
neg,fälschung,nn,-0.3377,fälschungen
neg,gammler,nn,-0.0048,"gammlers,gammlern"
neg,gangster,nn,-0.3375,"gangsters,gangstern"
neg,garnichts,nn,-0.0048,NA
neg,gauner,nn,-0.4592,"gaunern,gauners"
neg,gebrechen,nn,-0.3251,gebrechens
neg,gedränge,nn,-0.0571,"gedrängen,gedränges"
neg,gefahr,nn,-1,gefahren
neg,gefecht,nn,-0.3373,"gefechten,gefechtes,gefechte,gefechts"
neg,gefährdung,nn,-0.0048,gefährdungen
neg,gegner,nn,-0.344,"gegnern,gegners"
neg,geisteskrankheit,nn,-0.0048,geisteskrankheiten
neg,geistlosigkeit,nn,-0.0048,geistlosigkeiten
neg,geiz,nn,-0.0048,"geizen,geizes,geize,geizs"
neg,geizhals,nn,-0.0048,"geizhälsen,geizhälse,geizhalss,geizhalses"
neg,geizkragen,nn,-0.0048,geizkragens
neg,geldstrafe,nn,-0.3299,geldstrafen
neg,geschmacklosigkeit,nn,-0.0048,geschmacklosigkeiten
neg,geschäftsauflösung,nn,-0.0048,geschäftsauflösungen
neg,gestank,nn,-0.0048,"gestanks,gestankes"
neg,gewalt,nn,-0.5363,gewalten
neg,gewalttätige,nn,-0.0048,NA
neg,gewalttätiger,nn,-0.0048,NA
neg,gift,nn,-0.3505,"gifts,giftes,giften,gifte"
neg,glanzlosigkeit,nn,-0.0048,NA
neg,gleichgültigkeit,nn,-0.343,NA
neg,glücklosigkeit,nn,-0.0048,NA
neg,gnadenlosigkeit,nn,-0.0048,NA
neg,grausamkeit,nn,-0.3348,grausamkeiten
neg,groll,nn,-0.6021,"grolls,grolles"
neg,groteske,nn,-0.0048,grotesken
neg,habgier,nn,-0.0532,NA
neg,haft,nn,-0.0048,"hafte,hafts,haften,haftes"
neg,handgemenge,nn,-0.3174,"handgemenges,handgemengen"
neg,handicap,nn,-0.0426,handicaps
neg,hass,nn,-0.5014,hasss
neg,heimsuchung,nn,-0.0048,heimsuchungen
neg,hektik,nn,-0.0048,NA
neg,hemmung,nn,-0.0048,hemmungen
neg,herausforderung,nn,-0.0048,herausforderungen
neg,heuchelei,nn,-0.0048,heucheleien
neg,heuchler,nn,-0.3251,"heuchlers,heuchlern"
neg,hilflosigkeit,nn,-0.3394,NA
neg,hindernis,nn,-0.0048,"hinderniss,hindernises,hindernisses,hindernise,hindernisen,hindernissen,hindernisse"
neg,hinterhalt,nn,-0.0048,"hinterhaltes,hinterhalts,hinterhalte,hinterhalten"
neg,hinterlist,nn,-0.0048,NA
neg,hohn,nn,-0.0048,"hohnes,hohns"
neg,horror,nn,-0.0509,horrors
neg,hunger,nn,-0.3531,"hungeres,hungers"
neg,hungersnot,nn,-0.4739,"hungersnöten,hungersnöte"
neg,hungertod,nn,-0.0048,hungertods
neg,hysterie,nn,-0.3386,hysterien
neg,härte,nn,-0.0446,härten
neg,hölle,nn,-0.5052,höllen
neg,idiot,nn,-0.0048,idioten
neg,illegalität,nn,-0.0048,illegalitäten
neg,immobilität,nn,-0.0048,NA
neg,ineffizienz,nn,-0.0048,ineffizienzen
neg,infektion,nn,-0.2059,infektionen
neg,infiltration,nn,-0.0048,infiltrationen
neg,inflation,nn,-0.3462,inflationen
neg,inkompetenz,nn,-0.0048,inkompetenzen
neg,inkonsequenz,nn,-0.0455,inkonsequenzen
neg,inkonsistenz,nn,-0.3097,NA
neg,instabilität,nn,-0.3358,instabilitäten
neg,intervention,nn,-0.1975,interventionen
neg,invasion,nn,-0.0048,invasionen
neg,isolation,nn,-0.3453,isolationen
neg,jammer,nn,-0.4613,"jammers,jammeres"
neg,jähzorn,nn,-0.0048,NA
neg,kampf,nn,-0.5372,NA
neg,kapitalverbrechen,nn,-0.0048,kapitalverbrechens
neg,kapitulation,nn,-0.0048,kapitulationen
neg,katastrophe,nn,-0.5027,katastrophen
neg,keim,nn,-0.0048,"keims,keime,keimes,keimen"
neg,klage,nn,-0.0048,klagen
neg,klischee,nn,-0.48,klischees
neg,kläger,nn,-0.3673,"klägers,klägern"
neg,knappheit,nn,-0.0048,NA
neg,kollaps,nn,-0.0048,"kollapses,kollapsen,kollapse"
neg,kollision,nn,-0.3323,kollisionen
neg,komplikation,nn,-0.0048,komplikationen
neg,konflikt,nn,-0.0048,"konfliktes,konflikte,konflikts,konflikten"
neg,konfrontation,nn,-0.0048,konfrontationen
neg,konjunkturrückgang,nn,-0.0048,NA
neg,konkurrenz,nn,-0.0461,konkurrenzen
neg,konkurrenzkampf,nn,-0.0494,"konkurrenzkampfs,konkurrenzkämpfe,konkurrenzkampfes,konkurrenzkämpfen"
neg,konkurs,nn,-0.0048,"konkurse,konkurses,konkursen"
neg,kontroverse,nn,-0.3329,kontroversen
neg,kopfschmerzen,nn,-0.1993,NA
neg,korruption,nn,-0.3439,korruptionen
neg,kostspieligkeit,nn,-0.0048,NA
neg,krach,nn,-0.0048,"krächen,kräche,krachs,kraches,krache,krachen"
neg,krankheit,nn,-0.6858,krankheiten
neg,krieg,nn,-0.5364,"kriegs,krieges,kriegen,kriege"
neg,kriminalität,nn,-0.0048,NA
neg,krise,nn,-0.3621,krisen
neg,kritik,nn,-0.5308,kritiken
neg,kritiker,nn,-0.6494,"kritikers,kritikern"
neg,kränkung,nn,-0.0048,kränkungen
neg,krüppel,nn,-0.3203,"krüppeln,krüppels"
neg,kurseinbruch,nn,-0.0048,"kurseinbruchs,kurseinbrüche,kurseinbruches,kurseinbrüchen"
neg,kälte,nn,-0.0048,NA
neg,kündigung,nn,-0.0048,kündigungen
neg,kürzung,nn,-0.341,kürzungen
neg,langeweile,nn,-0.0377,NA
neg,langweiler,nn,-0.0443,"langweilern,langweilers"
neg,last,nn,-0.0048,lasten
neg,launenhaftigkeit,nn,-0.0048,NA
neg,lebensgefahr,nn,-0.0048,lebensgefahren
neg,leblosigkeit,nn,-0.0048,NA
neg,leere,nn,-0.0048,NA
neg,leichtsinn,nn,-0.3253,leichtsinns
neg,leichtsinnsfehler,nn,-0.0371,"leichtsinnsfehlers,leichtsinnsfehlern"
neg,leid,nn,-0.5056,"leides,leids"
neg,leidende,nn,-0.0048,NA
neg,liquidation,nn,-0.0048,liquidationen
neg,lähmung,nn,-0.0048,lähmungen
neg,löschung,nn,-0.0048,löschungen
neg,lüge,nn,-0.5,lügen
neg,lügner,nn,-0.4767,"lügnern,lügners"
neg,makel,nn,-0.1813,"makels,makeln"
neg,mangel,nn,-0.3669,NA
neg,manipulation,nn,-0.3455,manipulationen
neg,massaker,nn,-0.0048,"massakern,massakers"
neg,maßlosigkeit,nn,-0.0048,NA
neg,melancholie,nn,-0.1859,NA
neg,melodrama,nn,-0.0048,melodramen
neg,merkwürdigkeit,nn,-0.0048,merkwürdigkeiten
neg,minderung,nn,-0.0048,minderungen
neg,minderwertigkeit,nn,-0.3201,NA
neg,missachtung,nn,-0.0048,NA
neg,missbrauch,nn,-0.0048,"missbräuchen,missbrauches,missbräuche,missbrauchs"
neg,missgeschick,nn,-0.0472,"missgeschicken,missgeschicks,missgeschicke,missgeschickes"
neg,missglück,nn,-0.0048,NA
neg,misstrauen,nn,-0.4778,misstrauens
neg,misstrauensantrag,nn,-0.0048,"misstrauensanträge,misstrauensanträgen,misstrauensantrages,misstrauensantrags"
neg,missverständnis,nn,-0.4756,"missverständniss,missverständnise,missverständnises,missverständnisen"
neg,mist,nn,-0.1732,"mists,mistes"
neg,mittellosigkeit,nn,-0.0048,NA
neg,mittelmäßigkeit,nn,-0.0048,NA
neg,monotonie,nn,-0.0048,monotonien
neg,mord,nn,-0.3595,"mordes,morde,mords,morden"
neg,mutlosigkeit,nn,-0.0048,NA
neg,müdigkeit,nn,-0.1995,NA
neg,mühe,nn,-0.0048,mühen
neg,müll,nn,-0.3377,mülls
neg,nachlässigkeit,nn,-0.0048,nachlässigkeiten
neg,nachteil,nn,-0.8102,"nachteilen,nachteile,nachteils,nachteiles"
neg,naivität,nn,-0.0048,NA
neg,narr,nn,-0.335,narren
neg,negativität,nn,-0.3155,NA
neg,neid,nn,-0.4729,"neides,neids"
neg,nervosität,nn,-0.1833,NA
neg,neustart,nn,-0.0504,NA
neg,niedergang,nn,-0.0048,"niedergangs,niederganges"
neg,niedergeschlagenheit,nn,-0.0048,NA
neg,niederlage,nn,-0.3651,niederlagen
neg,not,nn,-0.2187,"nöten,nöte"
neg,notfall,nn,-0.0468,"notfalles,notfällen,notfalls,notfälle"
neg,notstand,nn,-0.0048,"notstandes,notständen,notstands,notstände"
neg,nutzlosigkeit,nn,-0.0048,NA
neg,nötigung,nn,-0.0048,nötigungen
neg,oberflächlichkeit,nn,-0.3299,oberflächlichkeiten
neg,offensive,nn,-0.0048,offensiven
neg,opposition,nn,-0.3631,oppositionen
neg,panik,nn,-0.3429,paniken
neg,panne,nn,-0.1901,pannen
neg,pech,nn,-0.4823,"peches,pechen,peche,pechs"
neg,pessimismus,nn,-0.4715,NA
neg,pest,nn,-0.3456,NA
neg,pflicht,nn,-0.3577,pflichten
neg,pleite,nn,-0.3323,pleiten
neg,preissturz,nn,-0.0048,"preissturzs,preisstürze,preisstürzen,preissturzes"
neg,problem,nn,-0.3865,"probleme,problemen,problems"
neg,propaganda,nn,-0.4893,NA
neg,protest,nn,-0.3564,NA
neg,provisorium,nn,-0.0048,"provisorien,provisoriums"
neg,provokation,nn,-0.0048,provokationen
neg,qual,nn,-0.0402,qualen
neg,qualitätsminderung,nn,-0.3096,NA
neg,rache,nn,-0.3534,NA
neg,ratlosigkeit,nn,-0.0048,NA
neg,raub,nn,-0.0048,"raubs,raubes,rauben,raube"
neg,rebellen,nn,-0.0048,NA
neg,rebellion,nn,-0.0048,NA
neg,rechtswidrigkeit,nn,-0.0499,rechtswidrigkeiten
neg,redundanz,nn,-0.0048,redundanzen
neg,reinfall,nn,-0.0048,"reinfälle,reinfalls,reinfällen,reinfalles"
neg,reklamation,nn,-0.0048,reklamationen
neg,reparatur,nn,-0.0048,reparaturen
neg,revolte,nn,-0.0048,revolten
neg,revolution,nn,-0.0048,revolutionen
neg,rezession,nn,-0.3454,rezessionen
neg,risiko,nn,-0.687,NA
neg,rivale,nn,-0.0502,rivalen
neg,rivalität,nn,-0.0048,rivalitäten
neg,rost,nn,-0.0048,"rostes,rosten,roste,rosts"
neg,ruin,nn,-0.0048,ruins
neg,rutsch,nn,-0.0048,"rutschs,rutschen,rutsches,rutsche"
neg,rätselraten,nn,-0.0048,rätselratens
neg,räuber,nn,-0.3508,"räubers,räubern"
neg,rückfall,nn,-0.0048,"rückfalls,rückfällen,rückfälle,rückfalles"
neg,rückgang,nn,-0.2096,"rückgangs,rückganges,rückgängen,rückgänge"
neg,rückschritt,nn,-0.0048,"rückschritten,rückschritts,rückschritte,rückschrittes"
neg,rücksendung,nn,-0.3465,rücksendungen
neg,rücksichtslosigkeit,nn,-0.0048,rücksichtslosigkeiten
neg,rückstand,nn,-0.063,"rückständen,rückstands,rückstände,rückstandes"
neg,rückständigkeit,nn,-0.0048,NA
neg,rücktritt,nn,-0.0048,"rücktritte,rücktritts,rücktrittes,rücktritten"
neg,rückzug,nn,-0.3501,NA
neg,sabotage,nn,-0.0048,sabotagen
neg,sackgasse,nn,-0.3455,sackgassen
neg,schaden,nn,-0.5299,schadens
neg,schadensbild,nn,-0.0048,"schadensbildern,schadensbilder,schadensbilds,schadensbildes"
neg,scham,nn,-0.4829,NA
neg,schande,nn,-0.0048,schanden
neg,scheidung,nn,-0.2023,scheidungen
neg,scheitern,nn,-0.3524,NA
neg,schelte,nn,-0.0048,schelten
neg,scheußlichkeit,nn,-0.0048,scheußlichkeiten
neg,schlachtfeld,nn,-0.0048,"schlachtfeldern,schlachtfeldes,schlachtfelder,schlachtfelds"
neg,schlag,nn,-0.0048,"schlages,schlags,schlägen,schläge"
neg,schlamperei,nn,-0.0048,schlampereien
neg,schlechtigkeit,nn,-0.4646,schlechtigkeiten
neg,schlitterbahn,nn,-0.0048,schlitterbahnen
neg,schlägerei,nn,-0.0048,schlägereien
neg,schmerz,nn,-0.0048,"schmerzes,schmerzs,schmerzen"
neg,schmuggel,nn,-0.0048,"schmuggels,schmuggeles"
neg,schmutz,nn,-0.0542,"schmutzs,schmutzes"
neg,schock,nn,-0.0048,"schockn,schocks,schocke,schocken,schockes"
neg,schramme,nn,-0.0048,schrammen
neg,schreck,nn,-0.194,"schrecke,schrecken,schrecks,schreckes"
neg,schrott,nn,-0.0534,"schrottes,schrotts,schrotte,schrotten"
neg,schräglauf,nn,-0.0048,"schrägläufen,schräglaufs,schräglaufes,schrägläufe"
neg,schubs,nn,-0.0048,"schubse,schubsen,schubses"
neg,schuld,nn,-0.9686,schulden
neg,schuldner,nn,-0.0048,"schuldnern,schuldners"
neg,schuldnerin,nn,-0.0048,schuldnerinnen
neg,schurke,nn,-0.3306,schurken
neg,schwierigkeit,nn,-0.0483,schwierigkeiten
neg,schwund,nn,-0.0048,"schwunds,schwundes"
neg,schwäche,nn,-0.5035,schwächen
neg,schwächung,nn,-0.337,schwächungen
neg,schäden,nn,-0.3731,NA
neg,schädigung,nn,-0.0048,schädigungen
neg,senkung,nn,-0.0545,senkungen
neg,sinnlosigkeit,nn,-0.0048,sinnlosigkeiten
neg,sintflut,nn,-0.3313,NA
neg,skandal,nn,-0.0048,"skandales,skandals,skandale,skandalen"
neg,sklave,nn,-0.3281,sklaven
neg,sklavenarbeit,nn,-0.0048,NA
neg,sorge,nn,-0.3618,sorgen
neg,spott,nn,-0.3357,"spotts,spottes"
neg,sprengstoff,nn,-0.0048,"sprengstoffes,sprengstoffs,sprengstoffe,sprengstoffen"
neg,sprengung,nn,-0.0048,sprengungen
neg,stagnation,nn,-0.0048,stagnationen
neg,stau,nn,-0.0438,staus
neg,sterben,nn,-0.053900000000000003,sterbens
neg,steuerhinterziehung,nn,-0.0048,NA
neg,stilllegung,nn,-0.0048,stilllegungen
neg,stillstand,nn,-0.0048,"stillstanden,stillstandes,stillstande,stillstands"
neg,stornierung,nn,-0.0048,stornierungen
neg,stoß,nn,-0.0048,"stoßes,stoßs,stößen,stöße"
neg,strafverfahren,nn,-0.0048,strafverfahrens
neg,strapaze,nn,-0.0048,strapazen
neg,streik,nn,-0.0048,streiks
neg,streit,nn,-0.6632,"streites,streits,streiten,streite"
neg,strenge,nn,-0.0048,NA
neg,stress,nn,-0.0048,"stresss,stresses,stresse,stressen"
neg,streß,nn,-0.0048,NA
neg,sturheit,nn,-0.1894,NA
neg,sturz,nn,-0.6316,"sturzs,sturzen,stürze,sturzes,stürzen,sturze"
neg,störung,nn,-0.3569,störungen
neg,sucht,nn,-0.3505,"süchte,süchten"
neg,sündenbock,nn,-0.3285,"sündenbockes,sündenböcke,sündenböcken,sündenbocks"
neg,tabu,nn,-0.0048,NA
neg,terror,nn,-0.0048,terrors
neg,terrorismus,nn,-0.3553,NA
neg,teuerung,nn,-0.322,teuerungen
neg,teuerungsrate,nn,-0.0048,teuerungsraten
neg,teufelskreis,nn,-0.479,"teufelskreiss,teufelskreise,teufelskreisen,teufelskreises"
neg,tod,nn,-0.0697,"tods,todes,tode,toden"
neg,todesfall,nn,-0.0048,"todesfälle,todesfällen,todesfalls,todesfalles"
neg,todesstrafe,nn,-0.0048,todesstrafen
neg,torheit,nn,-0.0048,torheiten
